"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 19 22:45:21 YEKT 2021","Tue Oct 19 22:45:32 YEKT 2021","10371","tests","test_opencart","","","","Переключение валют из верхнего меню опенкарта",""
"failed","Tue Oct 19 22:45:22 YEKT 2021","Tue Oct 19 22:45:36 YEKT 2021","14013","tests","test_opencart","","","","Удаление товара из списка в разделе администартора",""
"passed","Tue Oct 19 22:45:22 YEKT 2021","Tue Oct 19 22:45:39 YEKT 2021","16766","tests","test_opencart","","","","Добавление нового товара в разделе администратора",""
"failed","Tue Oct 19 22:45:22 YEKT 2021","Tue Oct 19 22:45:39 YEKT 2021","16667","tests","test_opencart","","","","Регистрация нового пользователя в магазине опенкарта",""
